scholarly_work	subject_id	subject_snippet	property	object_id	object_label	object_snippet	snippet
Bauer-Funke_2008a	http://www.wikidata.org/entity/Q1210734	Les cent vingt journées de Sodome	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q3087	sentimentalisme	Empfindsamkeit	Neben dem sentimentalen Roman, den Mme Riccoboni („Lettres de Mistriss Fanni Butlerd“, 1757) und Mme de Charricre („Ca-liste“, 1787) sowie schließlich Rousseaus Freund Bernardin de Saint-Pierre mit „Paul et Virginie“ (1788) tradieren, kontrastiert Choderlos de Laclos (1741-1803) in seinem polyphonen Briefroman „Les liaisons dangereuses“ (1782) die Korruption und Verworfenheit der adligen Vertreter des libertinage de mœurs mit der Empfindsamkeit der tugendhaften Frauenfiguren. Diese Tendenz wird der Marquis de Sade (1740-1814) dann in seinen Romanen fortsetzen, die er während seiner Gefangenschaft ab 1778 verfaßt („Les cent vingt journées de Sodome“, 1785; Justine ou Les malheurs de la vertu“, 1791).
Bauer-Funke_2008a	http://www.wikidata.org/entity/Q1210734	Les cent vingt journées de Sodome	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q3120	vertu	tugendhaften Frauenfiguren	Neben dem sentimentalen Roman, den Mme Riccoboni („Lettres de Mistriss Fanni Butlerd“, 1757) und Mme de Charricre („Ca-liste“, 1787) sowie schließlich Rousseaus Freund Bernardin de Saint-Pierre mit „Paul et Virginie“ (1788) tradieren, kontrastiert Choderlos de Laclos (1741-1803) in seinem polyphonen Briefroman „Les liaisons dangereuses“ (1782) die Korruption und Verworfenheit der adligen Vertreter des libertinage de mœurs mit der Empfindsamkeit der tugendhaften Frauenfiguren. Diese Tendenz wird der Marquis de Sade (1740-1814) dann in seinen Romanen fortsetzen, die er während seiner Gefangenschaft ab 1778 verfaßt („Les cent vingt journées de Sodome“, 1785; Justine ou Les malheurs de la vertu“, 1791).
Bauer-Funke_2008a	http://www.wikidata.org/entity/Q1336786	Le neveu de Rameau	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q2881	écriture	Schriftstellers	Von Voltaire als „la canaille de la littérature“ diffamiert, wird dieser Typus des Schriftstellers doch von Voltaire selbst („Le pauvre diable“, 1760) und von Diderot („Le neveu de Rameau“, um 1761/62 begonnen) zur literarischen Figur erhoben.
Bauer-Funke_2008a	http://www.wikidata.org/entity/Q1336786	Ec neveu de Rameau	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q2850	critique sociale	Gesellschaftskritik	Zusätzlich zu seiner Herausgebertätigkeit für die „Encyclopédie“, für die er selbst über tausend Artikel schreibt, verfaßt Diderot fundamentale dramentheoretische Abhandlungen zur Reform der Schauspielkunst und zum bürgerlichen Trauerspiel (/'Art. 1 14), das er selbst in seinen Theaterstücken umzusetzen versucht, ferner bedeutende kunsttheoretische und philosophische Schriften sowie ein erzähl-theoretisch innovatives Romanoeuvre, das etwa durch dialogische Erzählstrukturen oder Einmischungen des Erzählers bereits auf den modernen Roman vorausweist, thematisch aber der Gesellschaftskritik der Aufklärung verpflichtet bleibt („Ec neveu de Rameau“, um 1761/62 begonnen; Jacques le fataliste et son maître“, um 1771-73 verfaßt).
Bauer-Funke_2008a	http://www.wikidata.org/entity/Q1336786	Ec neveu de Rameau	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q2972	Lumières	Aufklärung	Zusätzlich zu seiner Herausgebertätigkeit für die „Encyclopédie“, für die er selbst über tausend Artikel schreibt, verfaßt Diderot fundamentale dramentheoretische Abhandlungen zur Reform der Schauspielkunst und zum bürgerlichen Trauerspiel (/'Art. 1 14), das er selbst in seinen Theaterstücken umzusetzen versucht, ferner bedeutende kunsttheoretische und philosophische Schriften sowie ein erzähl-theoretisch innovatives Romanoeuvre, das etwa durch dialogische Erzählstrukturen oder Einmischungen des Erzählers bereits auf den modernen Roman vorausweist, thematisch aber der Gesellschaftskritik der Aufklärung verpflichtet bleibt („Ec neveu de Rameau“, um 1761/62 begonnen; Jacques le fataliste et son maître“, um 1771-73 verfaßt).
Bauer-Funke_1998b	http://www.wikidata.org/entity/Q1210734	Les cent vingt journées de Sodome	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q2969	libertinage	libertinistischen Roman	Hauptwerke Nach dem in der Bastille entstandenen libertinistischen Roman Les cent vingt journées de Sodome (1785) publiziert Sade die 1787 noch im Gefängnis begonnenen und während der Revolution überarbeiteten Fassungen der Geschichte seiner Heldin Justine.
Bauer-Funke_1998b	http://www.wikidata.org/entity/Q129476	Les rêveries du promeneur solitaire	http://zora.uni-trier.de:11000/entity/P25	http://zora.uni-trier.de:11000/entity/Q826		Rousseau	Les rêveries du promeneur solitaire (1776-1778) erscheinen ebenfalls erst postum 1782 mit den Confessions. In zehn Spaziergängen lässt der einsame und von der Gesellschaft abgelehnte Rousseau seine Erinnerungen an glückliche Momente seines Lebens, seine moralphilosophischen und gesellschaftspolitischen Überlegungen sowie seine Empfindungen, etwa für die Natur, Revue passieren.
Bauer-Funke_1998b	http://www.wikidata.org/entity/Q129476	Les rêveries du promeneur solitaire	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q3086	sentiment	Empfindungen	Les rêveries du promeneur solitaire (1776-1778) erscheinen ebenfalls erst postum 1782 mit den Confessions. In zehn Spaziergängen lässt der einsame und von der Gesellschaft abgelehnte Rousseau seine Erinnerungen an glückliche Momente seines Lebens, seine moralphilosophischen und gesellschaftspolitischen Überlegungen sowie seine Empfindungen, etwa für die Natur, Revue passieren.
Bauer-Funke_1998b	http://www.wikidata.org/entity/Q129476	Les rêveries du promeneur solitaire	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q3005	nature	Natur	Les rêveries du promeneur solitaire (1776-1778) erscheinen ebenfalls erst postum 1782 mit den Confessions. In zehn Spaziergängen lässt der einsame und von der Gesellschaft abgelehnte Rousseau seine Erinnerungen an glückliche Momente seines Lebens, seine moralphilosophischen und gesellschaftspolitischen Überlegungen sowie seine Empfindungen, etwa für die Natur, Revue passieren.
Bauer-Funke_1998b	http://www.wikidata.org/entity/Q1336786	Le neveu de Rameau	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q3080	satire	philosophisch-satirischen Dialog	"Diderot verfasst Le neveu de Rameau, satire seconde um 1762. Der Roman beinhaltet einen philosophisch-satirischen Dialog zwischen einer dem Neffen des berühmten Komponisten Rameau nachempfundenen Gestalt und einer Figur, die sich als „Moi"" ausgibt."
