subject_id	subject_snippet	property	object_id	object_label	object_snippet	snippet
http://zora.uni-trier.de:11000/entity/Q290	Diderots	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q2998	morale	Moralphilosophie	Schon Diderots Übersetzung von Shaftesburys Inquiry concerning virtue and merit, die 1745 erscheint, dokumentiert sein lebhaftes Interesse an Fragen der Moralphilosophie, das ihn bis in sein Spätwerk, die Auseinandersetzung mit Hel-vetius und mit Seneca (1778/1782), begleitet.
http://zora.uni-trier.de:11000/entity/Q290	Diderot	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q2998	morale	Moral	Es mündet in einen expliziten moralischen Pluralismus ein, demzufolge Moral historisch, regional und soziologisch zu unterscheiden und >experimentell< zu erforschen ist, eine Linie, die von David Hume (An enquiry concerning the principle of morals, 1751, besonders der Anhang »A Dialogue« unter Anspielung auf Montesquieus Lettres persanes ) über La Mettrie und Diderot bis zu Sade führt.
http://zora.uni-trier.de:11000/entity/Q839	Sade	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q2998	morale	Moral	Es mündet in einen expliziten moralischen Pluralismus ein, demzufolge Moral historisch, regional und soziologisch zu unterscheiden und >experimentell< zu erforschen ist, eine Linie, die von David Hume (An enquiry concerning the principle of morals, 1751, besonders der Anhang »A Dialogue« unter Anspielung auf Montesquieus Lettres persanes ) über La Mettrie und Diderot bis zu Sade führt.
http://zora.uni-trier.de:11000/entity/Q290	Diderot	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q2947	inceste	Inzestverbot	Es mündet in einen expliziten moralischen Pluralismus ein, demzufolge Moral historisch, regional und soziologisch zu unterscheiden und >experimentell< zu erforschen ist, eine Linie, die von David Hume (An enquiry concerning the principle of morals, 1751, besonders der Anhang »A Dialogue« unter Anspielung auf Montesquieus Lettres persanes ) über La Mettrie und Diderot bis zu Sade führt. Im Kontext seines moralischen Pluralismus, der ihn in seinem Supplement au voyage de Bougainville (postum 1796) sogar das Inzestverbot relativieren lässt, fordert er die Differenzierung unterschiedlicher Norm- und Moralsysteme und explizit auch eine »morale propre aux artistes«, eine (Ausnahme-)Moral für den Künstler. 1746 erscheinen seine Pensees philosophiques , die öffentlich verbrannt werden, 1748 sein libertiner Roman Les bijoux indiscrets und 1749 seine Lettre sur les aveugles , die seine Inhaftierung in Vincennes zur Folge hat.
http://zora.uni-trier.de:11000/entity/Q290	Diderot	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q2998	morale	Moral	Es mündet in einen expliziten moralischen Pluralismus ein, demzufolge Moral historisch, regional und soziologisch zu unterscheiden und >experimentell< zu erforschen ist, eine Linie, die von David Hume (An enquiry concerning the principle of morals, 1751, besonders der Anhang »A Dialogue« unter Anspielung auf Montesquieus Lettres persanes ) über La Mettrie und Diderot bis zu Sade führt. Im Kontext seines moralischen Pluralismus, der ihn in seinem Supplement au voyage de Bougainville (postum 1796) sogar das Inzestverbot relativieren lässt, fordert er die Differenzierung unterschiedlicher Norm- und Moralsysteme und explizit auch eine »morale propre aux artistes«, eine (Ausnahme-)Moral für den Künstler. 1746 erscheinen seine Pensees philosophiques , die öffentlich verbrannt werden, 1748 sein libertiner Roman Les bijoux indiscrets und 1749 seine Lettre sur les aveugles , die seine Inhaftierung in Vincennes zur Folge hat.
http://zora.uni-trier.de:11000/entity/Q290	Diderot	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q2849	critique d'art	kritisch	In den 1740er Jahren macht Diderot Bekanntschaft mit den Materialisten La Mettrie und d'Holbach, dann auch mit Helvetius, dessen erfolgreiche Werke, De l'esprit (1758) und De l'homme (1773), er kritisch kommentieren wird, mit Rousseau, mit dem auch er sich entzweit, mit Jean le Rond d'Alembert und dem Baron Friedrich Melchior Grimm; nicht zu vergessen seine zahlreichen weiblichen Bekanntschaften, mit der intellektuellen Julie de l'Espinasse, Freundin d'Alemberts , und Sophie Volland, mit der ihn eine langjährige Liebschaft verbindet.
http://zora.uni-trier.de:11000/entity/Q290	Diderot	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q3521	Paris	Paris	Seit Mitte der 1750er Jahre arbeitet Diderot auch an der von Friedrich Melchior Grimm und Jakob Heinrich Meister herausgegebenen Zeitschrift Correspondance litteraire mit, die an europäischen Fürstenhöfen zirkuliert und die europäischen Führungseliten mit Nachrichten aus Paris versorgt.
http://zora.uni-trier.de:11000/entity/Q290	Diderot	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q2933	histoire	philosophiehistorischen Beiträgen	Neben seinen Aktivitäten als Herausgeber der Enzyklopädie und Publizist verfolgt Diderot seine philosophischen Interessen, auch in seinen (teilweise Johann Jakob Bruckers Philosophiegeschichte entlehnten) philosophiehistorischen Beiträgen zur Encyclopedie.
http://zora.uni-trier.de:11000/entity/Q290	Diderot	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q3039	philosophie	philosophiehistorischen Beiträgen	Neben seinen Aktivitäten als Herausgeber der Enzyklopädie und Publizist verfolgt Diderot seine philosophischen Interessen, auch in seinen (teilweise Johann Jakob Bruckers Philosophiegeschichte entlehnten) philosophiehistorischen Beiträgen zur Encyclopedie.
http://zora.uni-trier.de:11000/entity/Q290	Diderot	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q2903	être humain	Menschen	In diesem anthropologisch-physiologischen Zusammenhang (Diderot, Elements de Physiologie, 1774) wird der Sinnesapparat des Menschen in seiner welterschließenden Funktion (vgl. das traditionsreiche Statuengleichnis bei Diderot und in Condillacs Traite des sensa-tions, 1754) ebenso thematisiert wie das Potenzial der Sinneswahrnehmung und deren mögliche Defizite (Spekulation über mögliche weitere als die fünf Sinne des Menschen, Untersuchungen an Blinden und Taubstummen), die Hierarchie der Sinne wie auch Traum und Wahnsinn als alternative Formen der Welterschließung.
