	subject_id	subject_snippet	property	object_id	object_label	object_snippet	snippet
0	http://www.wikidata.org/entity/Q3310534	Chabanon	http://zora.uni-trier.de:11000/entity/P22	http://zora.uni-trier.de:11000/entity/Q3018	philosophie	(Aufklärungs-)Philosophie	Ob die (Aufklärungs-)Philosophie die Poesie abgetötet hat, fragt sich der epigonale Tragödiendichter Chabanon in Sur le sort de la poésie en ce siècle philosophique (1764).
1		Sur le sort de la poésie en ce siècle philosophique	http://zora.uni-trier.de:11000/entity/P25	http://zora.uni-trier.de:11000/entity/Q3018	philosophie	(Aufklärungs-)Philosophie	Ob die (Aufklärungs-)Philosophie die Poesie abgetötet hat, fragt sich der epigonale Tragödiendichter Chabanon in Sur le sort de la poésie en ce siècle philosophique (1764).
2	http://www.wikidata.org/entity/Q3310534	Chabanon	http://zora.uni-trier.de:11000/entity/P22	http://zora.uni-trier.de:11000/entity/Q2952	Lumières	Aufklärungs	Ob die (Aufklärungs-)Philosophie die Poesie abgetötet hat, fragt sich der epigonale Tragödiendichter Chabanon in Sur le sort de la poésie en ce siècle philosophique (1764).
3		Sur le sort de la poésie en ce siècle philosophique	http://zora.uni-trier.de:11000/entity/P25	http://zora.uni-trier.de:11000/entity/Q2952	Lumières	Aufklärungs	Ob die (Aufklärungs-)Philosophie die Poesie abgetötet hat, fragt sich der epigonale Tragödiendichter Chabanon in Sur le sort de la poésie en ce siècle philosophique (1764).
4	http://www.wikidata.org/entity/Q3310534	Chabanon	http://zora.uni-trier.de:11000/entity/P22	http://zora.uni-trier.de:11000/entity/Q3024	poésie	Poesie	Ob die (Aufklärungs-)Philosophie die Poesie abgetötet hat, fragt sich der epigonale Tragödiendichter Chabanon in Sur le sort de la poésie en ce siècle philosophique (1764).
5		Sur le sort de la poésie en ce siècle philosophique	http://zora.uni-trier.de:11000/entity/P25	http://zora.uni-trier.de:11000/entity/Q3024	poésie	Poesie	Ob die (Aufklärungs-)Philosophie die Poesie abgetötet hat, fragt sich der epigonale Tragödiendichter Chabanon in Sur le sort de la poésie en ce siècle philosophique (1764).
6	http://www.wikidata.org/entity/Q3310534	Chabanon	http://zora.uni-trier.de:11000/entity/P22	http://zora.uni-trier.de:11000/entity/Q3085	tragédie	Tragödiendichter	Ob die (Aufklärungs-)Philosophie die Poesie abgetötet hat, fragt sich der epigonale Tragödiendichter Chabanon in Sur le sort de la poésie en ce siècle philosophique (1764).
7	http://www.wikidata.org/entity/Q295548	André Chénier	http://zora.uni-trier.de:11000/entity/P22	http://zora.uni-trier.de:11000/entity/Q3065	sentiment	Gefühlslyrik	In der Tat: Außer André Chénier ist von den Lyrikern dieses Jahrhunderts nach den (nach)romantischen Kriterien subjektiver Gefühlslyrik niemand “kanonisiert” worden.
8	http://zora.uni-trier.de:11000/entity/Q963	Voltaire	http://zora.uni-trier.de:11000/entity/P22	http://zora.uni-trier.de:11000/entity/Q3024	poésie	Verses	Während Voltaire zu den bekanntesten Verfechtern des Verses gehört (“Un mérite de la poésie, dont bien des gens ne se doutent pas, c’est qu’elle dit plus que la prose, et en moins de paroles que la prose”, Artikel “Poètes” des Dictionnaire philosophique von 1764), polemisiert der Abbé Trublet in De la poésie et des poètes von 1760 gegen die Verssprache: “qu’un homme crève de jalousie ou meure de douleur, et que là-dessus, il se mette à faire cent vers, quoi de moins naturel”.
9	http://www.wikidata.org/entity/Q656976	Dictionnaire philosophique	http://zora.uni-trier.de:11000/entity/P25	http://zora.uni-trier.de:11000/entity/Q3024	poésie	Verses	Während Voltaire zu den bekanntesten Verfechtern des Verses gehört (“Un mérite de la poésie, dont bien des gens ne se doutent pas, c’est qu’elle dit plus que la prose, et en moins de paroles que la prose”, Artikel “Poètes” des Dictionnaire philosophique von 1764), polemisiert der Abbé Trublet in De la poésie et des poètes von 1760 gegen die Verssprache: “qu’un homme crève de jalousie ou meure de douleur, et que là-dessus, il se mette à faire cent vers, quoi de moins naturel”.
